Wall time,Step,Value
1664011584.390034,2000,-0.68880695104599
1664011648.1381688,4000,-0.7361340522766113
1664011710.7803462,6000,-0.6514888405799866
1664011775.599399,8000,-0.6417591571807861
1664011838.6069853,10000,-0.6636879444122314
1664011901.811712,12000,-0.625977635383606
1664011964.6069076,14000,-0.6347525715827942
1664012027.3770645,16000,-0.5896960496902466
1664012089.8221622,18000,-0.592907190322876
1664012153.8732555,20000,-0.5493478178977966
1664012218.0216238,22000,-0.5389478206634521
1664012280.7548068,24000,-0.4993947446346283
1664012343.5171118,26000,-0.4921608865261078
1664012406.2312737,28000,-0.4876675307750702
1664012469.6104121,30000,-0.4810468256473541
1664012532.8254707,32000,-0.4471867084503174
1664012595.2962427,34000,-0.48680582642555237
1664012657.8723838,36000,-0.4567843973636627
1664012720.7565036,38000,-0.42404332756996155
1664012784.0641685,40000,-0.42161065340042114
1664012846.9992516,42000,-0.4134654402732849
1664012909.5423613,44000,-0.3800213634967804
1664012972.046424,46000,-0.38092848658561707
1664013034.4806116,48000,-0.33859965205192566
1664013097.7613385,50000,-0.33660101890563965
1664013160.7366076,52000,-0.3265625238418579
1664013223.4579244,54000,-0.3221200406551361
1664013286.087088,56000,-0.3037991225719452
1664013348.6725833,58000,-0.2552257180213928
1664013411.750619,60000,-0.25073203444480896
1664013474.8006701,62000,-0.226455420255661
1664013537.1183665,64000,-0.24642547965049744
1664013599.6714857,66000,-0.23719662427902222
1664013662.1580815,68000,-0.16434437036514282
1664013725.942788,70000,-0.18875989317893982
1664013788.7958763,72000,-0.165854349732399
1664013851.1589732,74000,-0.12118244916200638
1664013913.6750944,76000,-0.1585637927055359
1664013976.2721493,78000,-0.14586859941482544
1664014039.4442036,80000,-0.09242012351751328
1664014103.108848,82000,-0.0876002088189125
1664014165.5493667,84000,-0.09858241677284241
1664014228.474478,86000,-0.07408113032579422
1664014291.1766536,88000,-0.0910225585103035
1664014354.051741,90000,-0.061752449721097946
1664014417.5058393,92000,-0.05374579131603241
1664014479.9419022,94000,-0.07532402127981186
1664014542.6701684,96000,-0.042285531759262085
1664014605.5312133,98000,-0.059079330414533615
1664014668.3513193,100000,-0.06294538825750351
1664014731.4610116,102000,-0.04637964814901352
1664014793.9290714,104000,-0.019051039591431618
1664014856.790122,106000,-0.01162497978657484
1664014919.0992298,108000,-0.0037004700861871243
1664014981.9303117,110000,0.01479434035718441
1664015045.002375,112000,-0.017526160925626755
1664015107.7414122,114000,-0.011151960119605064
1664015170.4884264,116000,0.0202485304325819
1664015233.1034398,118000,-0.0045032501220703125
1664015295.861772,120000,-0.004093629773706198
1664015358.6844537,122000,0.021508580073714256
1664015421.2135623,124000,0.001014319946989417
1664015483.9546912,126000,0.017399229109287262
1664015546.2337985,128000,0.03365575894713402
1664015609.0465457,130000,0.03984120860695839
1664015671.990579,132000,0.04792013019323349
1664015734.5626426,134000,0.053194981068372726
1664015797.3421755,136000,0.02408790960907936
1664015859.7352555,138000,0.014061160385608673
1664015922.5534532,140000,0.048094090074300766
1664015985.210533,142000,0.04070243984460831
1664016047.875577,144000,0.06405813992023468
1664016110.4217184,146000,0.05380598083138466
1664016172.6487682,148000,0.03801260143518448
1664016235.5138023,150000,0.07641643285751343
1664016298.5648375,152000,0.053393520414829254
1664016361.5758407,154000,0.06471181660890579
1664016423.6759963,156000,0.09163843840360641
1664016485.9935327,158000,0.08154643326997757
1664016548.7831798,160000,0.10729105025529861
1664016612.0247624,162000,0.10941655933856964
1664016674.931236,164000,0.0653650313615799
1664016737.525465,166000,0.07227098196744919
1664016800.1522758,168000,0.0919782817363739
1664016862.9097834,170000,0.0907960906624794
1664016926.173788,172000,0.06519880890846252
1664016988.6948996,174000,0.07720643281936646
1664017051.0728896,176000,0.11865562945604324
1664017113.8569603,178000,0.11949682235717773
1664017176.822974,180000,0.06768684089183807
1664017240.0580232,182000,0.08104871213436127
1664017302.4740791,184000,0.09435953944921494
1664017364.9491208,186000,0.09598082304000854
1664017427.4901643,188000,0.10232739895582199
1664017490.1143038,190000,0.13084721565246582
1664017552.9649124,192000,0.15508930385112762
1664017616.5089638,194000,0.1021004170179367
1664017678.8270547,196000,0.12960930168628693
1664017741.5138109,198000,0.09111732244491577
1664017804.2828088,200000,0.13421382009983063
1664017867.1529152,202000,0.09058243781328201
1664017929.8679245,204000,0.13082599639892578
1664017992.5622673,206000,0.10304973274469376
1664018055.102816,208000,0.14051182568073273
1664018118.0088203,210000,0.1172373965382576
1664018180.835871,212000,0.12128417938947678
1664018243.1834934,214000,0.1267385631799698
1664018305.7144904,216000,0.10278608649969101
1664018368.6550667,218000,0.11549890041351318
1664018431.47812,220000,0.11936035007238388
1664018493.8522954,222000,0.15330328047275543
1664018556.634331,224000,0.11964111030101776
1664018619.2273362,226000,0.1323375552892685
1664018682.321009,228000,0.13242106139659882
1664018745.034022,230000,0.12736617028713226
1664018807.7224095,232000,0.14300943911075592
1664018870.1134903,234000,0.15522122383117676
1664018932.5954914,236000,0.1138959676027298
1664018995.593003,238000,0.12173108011484146
1664019058.3339992,240000,0.12782609462738037
1664019121.1250892,242000,0.1675264537334442
1664019183.5231004,244000,0.13310091197490692
1664019246.3992758,246000,0.1491895169019699
1664019308.7879016,248000,0.14529283344745636
1664019371.5023837,250000,0.1496080458164215
1664019434.547042,252000,0.17025628685951233
1664019497.094055,254000,0.15611326694488525
1664019560.0086284,256000,0.1354077160358429
1664019622.4307709,258000,0.15989412367343903
1664019685.5183764,260000,0.15082500874996185
1664019748.3295312,262000,0.13708066940307617
1664019810.6957693,264000,0.11681357026100159
1664019873.6059682,266000,0.1553683876991272
1664019936.7433805,268000,0.1287497580051422
1664020000.1927736,270000,0.14210869371891022
1664020063.428998,272000,0.16930626332759857
1664020126.3833404,274000,0.14442458748817444
1664020188.7704325,276000,0.15700429677963257
1664020251.588641,278000,0.1554139256477356
1664020315.181078,280000,0.19393521547317505
1664020378.771369,282000,0.12439125776290894
1664020442.088713,284000,0.15782999992370605
1664020505.251795,286000,0.15718169510364532
1664020567.9745877,288000,0.15236084163188934
1664020631.5051684,290000,0.15153266489505768
1664020695.0703216,292000,0.14596356451511383
1664020758.328526,294000,0.13753238320350647
1664020821.1647542,296000,0.1688719391822815
1664020883.907354,298000,0.15478570759296417
1664020947.3020923,300000,0.12126441299915314
