Wall time,Step,Value
1664021011.0409129,2000,-0.7183449864387512
1664021074.014533,4000,-0.6769477725028992
1664021136.8702965,6000,-0.7120171785354614
1664021199.9674942,8000,-0.6136126518249512
1664021263.5676398,10000,-0.6733943223953247
1664021327.176672,12000,-0.6416108012199402
1664021390.1795075,14000,-0.6570675373077393
1664021453.1797144,16000,-0.5913529992103577
1664021515.8743935,18000,-0.5766438841819763
1664021579.5093987,20000,-0.5906506776809692
1664021642.971659,22000,-0.5690224170684814
1664021705.723959,24000,-0.5292351245880127
1664021768.884173,26000,-0.5522554516792297
1664021831.9872148,28000,-0.5477402806282043
1664021895.2014873,30000,-0.46927228569984436
1664021958.4186952,32000,-0.46876174211502075
1664022021.3980238,34000,-0.4345327317714691
1664022084.2961874,36000,-0.490501344203949
1664022147.183071,38000,-0.47128480672836304
1664022210.3441458,40000,-0.40177828073501587
1664022273.7710004,42000,-0.406890869140625
1664022336.5766313,44000,-0.3603385090827942
1664022399.917668,46000,-0.37487369775772095
1664022462.9177773,48000,-0.3477850556373596
1664022526.0838509,50000,-0.2854330539703369
1664022589.5117686,52000,-0.2759021520614624
1664022652.5703547,54000,-0.2823907136917114
1664022715.362423,56000,-0.29175078868865967
1664022778.237172,58000,-0.24286513030529022
1664022841.650829,60000,-0.2280406802892685
1664022904.9602096,62000,-0.23138022422790527
1664022967.6998816,64000,-0.16682332754135132
1664023029.5203977,66000,-0.2025926560163498
1664023092.4110103,68000,-0.1608296036720276
1664023155.130108,70000,-0.15872077643871307
1664023218.1611707,72000,-0.14233264327049255
1664023280.6032302,74000,-0.13551391661167145
1664023343.4039614,76000,-0.12702840566635132
1664023405.8182023,78000,-0.09848196059465408
1664023468.7168589,80000,-0.10565882921218872
1664023531.5039475,82000,-0.08129339665174484
1664023593.8209894,84000,-0.09253235161304474
1664023656.5632286,86000,-0.10295993834733963
1664023718.8479655,88000,-0.07628229260444641
1664023781.7611806,90000,-0.06396646052598953
1664023844.6739225,92000,-0.06801138818264008
1664023907.5862653,94000,-0.0714251697063446
1664023970.9542086,96000,-0.04083501920104027
1664024033.855658,98000,-0.06220442056655884
1664024097.2587306,100000,-0.03908190876245499
1664024160.4296095,102000,-0.012176119722425938
1664024223.395522,104000,-0.05854257941246033
1664024286.4610443,106000,-0.01820359006524086
1664024349.6382086,108000,-0.015927700325846672
1664024412.5759373,110000,0.004584169946610928
1664024475.7369542,112000,0.023974290117621422
1664024538.8885672,114000,-0.01787181943655014
1664024601.9203532,116000,-0.0020768900867551565
1664024664.8876395,118000,0.026180870831012726
1664024728.3988736,120000,0.008731960318982601
1664024792.1437893,122000,0.024254510179162025
1664024855.2727556,124000,0.02065850980579853
1664024917.847485,126000,0.056068070232868195
1664024981.0212383,128000,0.026385460048913956
1664025044.1193748,130000,0.04357543960213661
1664025107.943705,132000,0.05309655889868736
1664025170.9511645,134000,0.024550950154662132
1664025233.8334317,136000,0.05462440103292465
1664025296.8086667,138000,0.07267449796199799
1664025359.9489212,140000,0.06199653074145317
1664025423.631945,142000,0.07032965868711472
1664025486.4687223,144000,0.034361738711595535
1664025549.1238022,146000,0.04970281943678856
1664025612.5998917,148000,0.06919673830270767
1664025676.0967324,150000,0.07270807772874832
1664025739.7340767,152000,0.058150891214609146
1664025802.5995398,154000,0.0888761505484581
1664025865.4768806,156000,0.04805094003677368
1664025928.6639996,158000,0.048156868666410446
1664025992.0137367,160000,0.09486524760723114
1664026055.2244644,162000,0.08205217123031616
1664026118.2413156,164000,0.06858588010072708
1664026181.0047777,166000,0.06997010111808777
1664026244.2933662,168000,0.07786467671394348
1664026307.4589283,170000,0.07127232104539871
1664026370.5715122,172000,0.08978307992219925
1664026433.4462616,174000,0.09644947201013565
1664026496.4854736,176000,0.08194808661937714
1664026559.6954174,178000,0.11281214654445648
1664026623.0258722,180000,0.07441537082195282
1664026686.7492666,182000,0.11000335961580276
1664026749.7165546,184000,0.09518948942422867
1664026812.5657518,186000,0.08062390983104706
1664026875.875875,188000,0.10846780240535736
1664026939.2532873,190000,0.11573144048452377
1664027002.6524441,192000,0.10809768736362457
1664027065.489683,194000,0.11267387121915817
1664027128.3291411,196000,0.08537645637989044
1664027191.832533,198000,0.10351382195949554
1664027254.771009,200000,0.10454823076725006
1664027317.4503708,202000,0.11311814934015274
1664027380.3440542,204000,0.1005748063325882
1664027443.5340254,206000,0.11101648956537247
1664027506.9333706,208000,0.10048340260982513
1664027569.825117,210000,0.10238128155469894
1664027632.9754372,212000,0.16306602954864502
1664027695.6887524,214000,0.15898732841014862
1664027759.0270326,216000,0.13428016006946564
1664027822.3653028,218000,0.13316082954406738
1664027886.0394835,220000,0.11408097296953201
1664027949.430531,222000,0.1246885433793068
1664028012.3376765,224000,0.11924442648887634
1664028075.2294219,226000,0.10918504744768143
1664028138.3606062,228000,0.15425454080104828
1664028200.9548342,230000,0.10756631195545197
1664028263.9071665,232000,0.15483692288398743
1664028327.0724475,234000,0.14856064319610596
1664028389.795235,236000,0.12185083329677582
1664028452.9833481,238000,0.1199876070022583
1664028515.9769595,240000,0.1642594188451767
1664028579.344558,242000,0.141703262925148
1664028642.1865659,244000,0.1356935054063797
1664028705.2322009,246000,0.16228929162025452
1664028768.3183403,248000,0.06513997912406921
1664028831.418475,250000,0.1064860001206398
1664028894.4895406,252000,0.1556086242198944
1664028957.1357353,254000,0.17352530360221863
1664029019.8819468,256000,0.1237233430147171
1664029082.695636,258000,0.12071608006954193
1664029145.375655,260000,0.13545608520507812
1664029208.085748,262000,0.12288142740726471
1664029270.832916,264000,0.1334008127450943
1664029333.3131034,266000,0.1441042572259903
1664029396.4821663,268000,0.164673313498497
1664029459.6197805,270000,0.1705147624015808
1664029522.9438858,272000,0.13114449381828308
1664029585.7559798,274000,0.1717640906572342
1664029648.233802,276000,0.171096533536911
1664029711.2140439,278000,0.16499857604503632
1664029773.9680865,280000,0.14791668951511383
1664029837.0517786,282000,0.13427527248859406
1664029899.71775,284000,0.15915659070014954
1664029962.2058222,286000,0.16402296721935272
1664030025.5154583,288000,0.14360612630844116
1664030088.3181307,290000,0.1429547369480133
1664030151.8476977,292000,0.140475794672966
1664030214.4623048,294000,0.1167515218257904
1664030277.171505,296000,0.16458715498447418
1664030340.0002491,298000,0.15291360020637512
1664030402.9953525,300000,0.15986831486225128
